_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone
11367,a565,b457,TOI On Sunset,7505 1/2 W Sunset Blvd,Los Angeles,90046.0,3238748062.0,Toi on Sunset,7505 1/2 W Sunset Blvd,Los Angeles,90046.0,3238748062.0
11439,a565,b2567,TOI On Sunset,7505 1/2 W Sunset Blvd,Los Angeles,90046.0,3238748062.0,Luca on Sunset,7950 W Sunset Blvd,Los Angeles,90046.0,3238222900.0
11443,a565,b2745,TOI On Sunset,7505 1/2 W Sunset Blvd,Los Angeles,90046.0,3238748062.0,Sunset Trocadero Lounge,8280 W Sunset Blvd,West Hollywood,90046.0,
11456,a569,b18,Chibiscus Asian Cafe,7361 W Sunset Blvd,Los Angeles,90046.0,3239779877.0,The Griddle Cafe,7916 W Sunset Blvd,Los Angeles,90046.0,3238740377.0
11516,a569,b1606,Chibiscus Asian Cafe,7361 W Sunset Blvd,Los Angeles,90046.0,3239779877.0,Chibiscus Asian Cafe and restaurant,7361 1/2 W Sunset Blvd,Los Angeles,90046.0,3239779877.0
11524,a569,b1698,Chibiscus Asian Cafe,7361 W Sunset Blvd,Los Angeles,90046.0,3239779877.0,Chipotle Mexican Grill,7660 W Sunset Blvd,Los Angeles,90046.0,3239525160.0
11557,a569,b3025,Chibiscus Asian Cafe,7361 W Sunset Blvd,Los Angeles,90046.0,3239779877.0,Hyde Sunset Kitchen + Cocktails,8117 W Sunset Blvd,West Hollywood,90046.0,3239401650.0
11591,a572,b931,Jones,7205 Santa Monica Blvd,West Hollywood,90046.0,3238501726.0,Jones,7201 Santa Monica Blvd,West Hollywood,90046.0,3238501726.0
11675,a648,b226,Red O,8155 Melrose Ave,Los Angeles,90046.0,3236555009.0,Red O Restaurant,8155 Melrose Ave,Los Angeles,90046.0,3236555009.0
11772,a654,b93,Crossroads,8284 Melrose Ave,Los Angeles,90046.0,3237829245.0,Crossroads,8284 Melrose Ave,Los Angeles,90046.0,3237829245.0
11878,a937,b172,Connie & Ted's,8171 Santa Monica Blvd,West Hollywood,90046.0,3238482722.0,Connie & Ted's,8171 Santa Monica Blvd,West Hollywood,90046.0,3238482722.0
11983,a960,b174,Laurel Hardware,7984 Santa Monica Blvd,West Hollywood,90046.0,3236566070.0,Laurel Hardware,7984 Santa Monica Blvd,West Hollywood,90046.0,3236566070.0
12060,a960,b2507,Laurel Hardware,7984 Santa Monica Blvd,West Hollywood,90046.0,3236566070.0,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0
12087,a1237,b174,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0,Laurel Hardware,7984 Santa Monica Blvd,West Hollywood,90046.0,3236566070.0
12110,a1237,b892,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0,Astro Burger,7475 Santa Monica Blvd,Los Angeles,90046.0,
12131,a1237,b1370,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0,Marco's,8200 Santa Monica Blvd,West Hollywood,90046.0,3236501060.0
12138,a1237,b1579,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0,Irv's Burgers,8289 Santa Monica Blvd,West Hollywood,90046.0,3236502456.0
12164,a1237,b2507,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0,Hamburger Mary's,8288 Santa Monica Blvd,West Hollywood,90046.0,3236543800.0
13119,a68,b137,Yard House,800 W Olympic Blvd,Los Angeles,90015.0,2137459273.0,Yard House,800 W Olympic Blvd,Los Angeles,90015.0,2137459273.0
13121,a68,b160,Yard House,800 W Olympic Blvd,Los Angeles,90015.0,2137459273.0,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0
13170,a74,b177,Faith & Flower,705 W 9th St,Los Angeles,90015.0,2132390642.0,Faith and Flower,705 W 9th St,Los Angeles,90015.0,2132390642.0
13232,a82,b714,Tom's Urban - LA Live,1011 S Figueroa St,Los Angeles,90015.0,2137468667.0,Tom's Urban - At L.A. Live,1011 S Figueroa St,Los Angeles,90015.0,2137468667.0
13279,a167,b681,Wood Spoon,107 W 9th St,Los Angeles,90015.0,2136291765.0,WoodSpoon,107 W 9th St,Los Angeles,90015.0,2136291765.0
13311,a170,b137,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0,Yard House,800 W Olympic Blvd,Los Angeles,90015.0,2137459273.0
13313,a170,b160,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0
13318,a170,b273,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0,Wolfgang Puck Bar & Grill - LA Live,800 W Olympic Blvd Ste A180,Los Angeles,90015.0,2137489700.0
